MOVIES,YEAR,GENRE,RATING,VOTES,RunTime
Star Trek: The Next Generation,(1987â€“1994),"
Action, Adventure, Mystery            ",8.6,"106,181",44
Le dernier mercenaire,-2021,"
Action, Comedy            ",5.4,"2,606",110
Resort to Love,-2021,"
Comedy, Romance            ",5.7,"1,591",101
Evil,(2019â€“ ),"
Crime, Drama, Horror            ",7.7,"15,048",42
The Expanse,(2015â€“ ),"
Drama, Mystery, Sci-Fi            ",8.5,"119,644",60
New Amsterdam,(2018â€“ ),"
Drama            ",8.1,"27,709",43
Line of Duty,(2012â€“ ),"
Crime, Drama, Mystery            ",8.7,"46,751",60
The 100,(2014â€“2020),"
Drama, Mystery, Sci-Fi            ",7.6,"226,962",43
New Girl,(2011â€“2018),"
Comedy            ",7.7,"200,421",22
Prison Break,(2005â€“2017),"
Action, Crime, Drama            ",8.3,"492,438",44
Sex Education,(2019â€“ ),"
Comedy, Drama            ",8.3,"177,274",45
A Classic Horror Story,-2021,"
Drama, Horror, Mystery            ",5.7,"8,822",95
Feels Like Ishq,(2021â€“ ),"
Comedy, Drama, Romance            ",6.6,848,32
Young Royals,(2021â€“ ),"
Drama, Romance            ",8.6,"16,954",50
Shadow and Bone,(2021â€“ ),"
Action, Adventure, Drama            ",7.7,"60,283",
The Hitman's Bodyguard,-2017,"
Action, Comedy, Crime            ",6.9,"205,979",118
Mad Men,(2007â€“2015),"
Drama            ",8.6,"216,203",47
Ã‰lite,(2018â€“ ),"
Crime, Drama, Thriller            ",7.5,"59,730",60
Gilmore Girls,(2000â€“2007),"
Comedy, Drama            ",8.1,"106,650",44
Sky Rojo,(2021â€“ ),"
Action, Adventure, Crime            ",6.5,"6,940",31
Lupin,(2021â€“ ),"
Action, Crime, Drama            ",7.5,"84,428",45
Trollhunters: Rise of the Titans,-2021,"
Animation, Action, Adventure            ",6.9,"2,353",104
Heartland,(II) (2007â€“ ),"
Drama, Family            ",8.4,"11,764",45
Jurassic Park,-1993,"
Action, Adventure, Sci-Fi            ",8.1,"897,444",127
Family Guy,(1999â€“2022),"
Animation, Comedy            ",8.1,"312,584",22
Daredevil,(2015â€“2018),"
Action, Crime, Drama            ",8.6,"374,963",54
Dark,(2017â€“2020),"
Crime, Drama, Mystery            ",8.8,"312,629",60
Boku no hÃ®rÃ´ akademia,(2016â€“ ),"
Animation, Action, Adventure            ",8.4,"44,367",24
Cobra Kai,(2018â€“ ),"
Action, Comedy, Drama            ",8.6,"122,268",30
 Kingdom,(2019â€“ ),"
Action, Drama, History            ",7.1,"6,388",92
Gotham,(2014â€“2019),"
Action, Crime, Drama            ",7.8,"216,458",42
Billions,(2016â€“ ),"
Drama            ",8.4,"74,094",60
Agents of S.H.I.E.L.D.,(2013â€“2020),"
Action, Adventure, Drama            ",7.5,"205,119",45
Don't Breathe,-2016,"
Crime, Horror, Thriller            ",7.1,"237,601",88
The Ice Road,-2021,"
Action, Adventure, Drama            ",5.6,"20,561",109
Arrow,(2012â€“2020),"
Action, Adventure, Crime            ",7.5,"414,712",42
Orange Is the New Black,(2013â€“2019),"
Comedy, Crime, Drama            ",8,"284,554",59
Gossip Girl,(2007â€“2012),"
Drama, Romance            ",7.4,"159,666",42
Bridgerton,(2020â€“ ),"
Drama, Romance            ",7.3,"83,944",60
The Kominsky Method,(2018â€“2021),"
Comedy, Drama            ",8.2,"33,440",30
Homeland,(2011â€“2020),"
Crime, Drama, Mystery            ",8.3,"322,307",55
Riverdale,(2017â€“ ),"
Crime, Drama, Mystery            ",6.8,"126,112",45
Sherlock,(2010â€“2017),"
Crime, Drama, Mystery            ",9.1,"839,029",88
La cocinera de Castamar,-2021,"
Drama            ",7.4,"1,336",
Queen of the South,(2016â€“2021),"
Action, Crime, Drama            ",8,"23,318",42
CSI: Crime Scene Investigation,(2000â€“2015),"
Crime, Drama, Mystery            ",7.6,"78,589",60
The Umbrella Academy,(2019â€“ ),"
Action, Adventure, Comedy            ",8,"175,513",60
Supergirl,(2015â€“2021),"
Action, Adventure, Drama            ",6.2,"115,373",43
BoJack Horseman,(2014â€“2020),"
Animation, Comedy, Drama            ",8.7,"124,318",25
The Lord of the Rings: The Fellowship of the Ring,-2001,"
Action, Adventure, Drama            ",8.8,"1,713,028",178
I Think You Should Leave with Tim Robinson,(2019â€“ ),"
Comedy            ",7.8,"8,095",16
South Park,(1997â€“ ),"
Animation, Comedy            ",8.7,"340,148",22
Once Upon a Time,(2011â€“2018),"
Adventure, Fantasy, Romance            ",7.7,"212,616",60
Star Trek: Discovery,(2017â€“ ),"
Action, Adventure, Drama            ",7.2,"101,079",60
Teen Wolf,(2011â€“2017),"
Action, Drama, Fantasy            ",7.6,"132,950",41
How to Get Away with Murder,(2014â€“2020),"
Crime, Drama, Mystery            ",8.1,"136,135",43
Star Trek: Deep Space Nine,(1993â€“1999),"
Action, Adventure, Drama            ",8,"55,687",45
Seinfeld,(1989â€“1998),"
Comedy            ",8.8,"264,801",22
Spartacus: Blood and Sand,(2010â€“2013),"
Action, Adventure, Biography            ",8.5,"228,484",55
Hawaii Five-0,(2010â€“2020),"
Action, Crime, Drama            ",7.3,"68,627",42
Good Witch,(2015â€“2021),"
Comedy, Drama, Fantasy            ",7.3,"8,268",48
The Sinner,(2017â€“ ),"
Crime, Drama, Mystery            ",7.9,"96,901",45
Arrested Development,(2003â€“2019),"
Comedy            ",8.7,"284,373",22
Escape Room,(I) (2019),"
Action, Adventure, Horror            ",6.4,"99,351",99
You,(2018â€“ ),"
Crime, Drama, Romance            ",7.7,"157,666",45
Mindhunter,(2017â€“2019),"
Crime, Drama, Thriller            ",8.6,"235,694",60
Jaws,-1975,"
Adventure, Thriller            ",8,"558,731",124
Avatar: The Last Airbender,(2005â€“2008),"
Animation, Action, Adventure            ",9.3,"265,845",23
The Punisher,(2017â€“2019),"
Action, Crime, Drama            ",8.5,"194,777",53
Star Trek: Voyager,(1995â€“2001),"
Action, Adventure, Sci-Fi            ",7.8,"61,917",44
The Departed,-2006,"
Crime, Drama, Thriller            ",8.5,"1,227,522",151
Narcos,(2015â€“2017),"
Biography, Crime, Drama            ",8.8,"375,261",49
The Serpent,-2021,"
Crime, Drama, Thriller            ",7.6,"33,936",58
Star Wars: The Clone Wars,(2008â€“2020),"
Animation, Action, Adventure            ",8.3,"71,904",23
"Murder, She Wrote",(1984â€“1996),"
Crime, Drama, Mystery            ",7,"20,330",50
Fatherhood,-2021,"
Comedy, Drama            ",6.7,"26,508",109
Blue Bloods,(2010â€“ ),"
Crime, Drama, Mystery            ",7.6,"34,064",43
Heist,(2021â€“ ),"
Documentary, Crime, Mystery            ",6.8,846,41
The Woman in the Window,-2021,"
Crime, Drama, Mystery            ",5.7,"57,048",100
Black Summer,(2019â€“ ),"
Action, Drama, Horror            ",6.5,"25,453",40
Katla,(2021â€“ ),"
Drama, Mystery, Sci-Fi            ",7.1,"8,391",
Gone Girl,-2014,"
Drama, Mystery, Thriller            ",8.1,"895,888",149
Jumanji: Welcome to the Jungle,-2017,"
Action, Adventure, Comedy            ",6.9,"337,900",119
American Psycho,-2000,"
Comedy, Crime, Drama            ",7.6,"517,014",101
House of Cards,(2013â€“2018),"
Drama            ",8.7,"476,656",51
Miraculous: Tales of Ladybug & Cat Noir,(2015â€“ ),"
Animation, Action, Adventure            ",7.7,"8,300",20
Mayor Grom: Chumnoy Doktor,-2021,"
Action, Adventure            ",6.3,"8,466",136
Demon Slayer: Kimetsu No Yaiba,(2019â€“ ),"
Animation, Action, Fantasy            ",8.7,"46,259",25
Jane the Virgin,(2014â€“2019),"
Comedy            ",7.8,"41,758",60
The Good Wife,(2009â€“2016),"
Crime, Drama, Mystery            ",8.3,"70,021",43
The Good Place,(2016â€“2020),"
Comedy, Drama, Fantasy            ",8.2,"127,417",22
The Americans,(2013â€“2018),"
Crime, Drama, Mystery            ",8.4,"88,962",44
Glee,(2009â€“2015),"
Comedy, Drama, Music            ",6.7,"139,934",44
Bo Burnham: Inside,(2021 TV Special),"
Comedy, Drama, Music            ",8.7,"31,108",87
Kill Bill: Vol. 1,-2003,"
Action, Crime, Drama            ",8.1,"1,034,554",111
Bartkowiak,-2021,"
Action, Crime, Sport            ",5,398,91
Castlevania,(2017â€“2021),"
Animation, Action, Adventure            ",8.3,"51,802",23
300,-2006,"
Action, Drama            ",7.6,"751,815",117
Dawson's Creek,(1998â€“2003),"
Drama, Romance            ",6.6,"38,117",60
It,(I) (2017),"
Horror            ",7.3,"480,607",135
Pretty Little Liars,(2010â€“2017),"
Drama, Mystery, Romance            ",7.4,"155,875",44
Star Trek,(1966â€“1969),"
Action, Adventure, Sci-Fi            ",8.3,"76,213",50
Archer,(2009â€“ ),"
Animation, Action, Comedy            ",8.6,"141,784",22
Spider-Man: Far from Home,-2019,"
Action, Adventure, Sci-Fi            ",7.5,"363,012",129
Twin Peaks,(1990â€“1991),"
Crime, Drama, Mystery            ",8.8,"182,173",47
The Mitchells vs the Machines,-2021,"
Animation, Adventure, Comedy            ",7.7,"69,482",113
The Bold Type,(2017â€“2021),"
Comedy, Drama            ",7.9,"16,183",45
"Love, Death & Robots",(2019â€“ ),"
Animation, Short, Comedy            ",8.5,"120,364",15
Hostage House,-2021,"
Thriller            ",3.7,315,85
The Hobbit: An Unexpected Journey,-2012,"
Adventure, Fantasy            ",7.8,"774,632",169
Clueless,-1995,"
Comedy, Romance            ",6.8,"194,461",97
Ray Donovan,(2013â€“2020),"
Crime, Drama            ",8.3,"79,618",60
Transformers: War for Cybertron,(2020â€“2021),"
Animation, Action, Adventure            ",7.4,"2,923",30
Baywatch,-2017,"
Action, Comedy, Crime            ",5.5,"170,844",116
Trollhunters,(2016â€“2018),"
Animation, Action, Adventure            ",8.4,"14,759",23
Snowpiercer,(2020â€“ ),"
Action, Drama, Sci-Fi            ",6.9,"39,433",60
Workin' Moms,(2017â€“ ),"
Comedy            ",7.7,"12,896",30
The Devil All the Time,-2020,"
Crime, Drama, Thriller            ",7.1,"108,684",138
Broadchurch,(2013â€“2017),"
Crime, Drama, Mystery            ",8.4,"100,611",48
Fast & Furious 7,-2015,"
Action, Adventure, Thriller            ",7.1,"371,194",137
L.A.'s Finest,(2019â€“2020),"
Action, Comedy, Crime            ",6,"5,667",60
Good on Paper,-2021,"
Comedy, Romance            ",5.6,"8,099",92
Iron Fist,(2017â€“2018),"
Action, Adventure, Crime            ",6.5,"118,859",55
Too Hot to Handle,(2020â€“ ),"
Game-Show, Reality-TV, Romance            ",4.6,"10,008",40
Haseen Dillruba,-2021,"
Crime, Drama, Mystery            ",6.9,"18,149",135
Hannibal,(2013â€“2015),"
Crime, Drama, Horror            ",8.5,"236,161",44
Longmire,(2012â€“2017),"
Action, Crime, Drama            ",8.3,"30,685",60
Sicario,-2015,"
Action, Crime, Drama            ",7.6,"387,903",121
The Fall,(I) (2013â€“2016),"
Crime, Drama, Thriller            ",8.1,"89,590",60
The Irishman,-2019,"
Biography, Crime, Drama            ",7.8,"345,455",209
Jujutsu Kaisen,(2020â€“ ),"
Animation, Action, Adventure            ",8.7,"25,386",24
The Lord of the Rings: The Return of the King,-2003,"
Action, Adventure, Drama            ",8.9,"1,691,777",201
Baby Driver,-2017,"
Action, Crime, Drama            ",7.6,"468,655",113
Dynasty,(2017â€“ ),"
Drama            ",7.3,"16,666",42
Spider-Man,-2002,"
Action, Adventure, Sci-Fi            ",7.3,"709,684",121
Jumanji: The Next Level,-2019,"
Action, Adventure, Comedy            ",6.7,"205,638",123
I Care a Lot,-2020,"
Comedy, Crime, Thriller            ",6.3,"109,059",118
Love and Monsters,(I) (2020),"
Action, Adventure, Comedy            ",7,"100,693",109
Awake,(III) (2021),"
Action, Adventure, Drama            ",4.8,"16,262",96
The Haunting of Hill House,-2018,"
Drama, Horror, Mystery            ",8.6,"195,117",572
Things Heard & Seen,-2021,"
Drama, Horror, Mystery            ",5.3,"24,250",121
NCIS: Los Angeles,(2009â€“ ),"
Action, Crime, Drama            ",6.7,"49,943",43
Arrival,(II) (2016),"
Drama, Sci-Fi            ",7.9,"623,912",116
Taxi Driver,-1976,"
Crime, Drama            ",8.2,"752,553",114
Grease,-1978,"
Musical, Romance            ",7.2,"250,587",110
El inocente,-2021,"
Crime, Drama, Mystery            ",7.9,"19,980",467
The Movies That Made Us,(2019â€“ ),"
Documentary            ",7.8,"3,653",45
Ragnarok,(2020â€“ ),"
Action, Drama, Fantasy            ",7.5,"31,200",45
The King,(I) (2019),"
Biography, Drama, History            ",7.2,"97,848",140
Ginny & Georgia,(2021â€“ ),"
Comedy, Drama            ",7.5,"35,247",
Jupiter's Legacy,-2021,"
Action, Adventure, Drama            ",6.7,"31,953",56
Designated Survivor,(2016â€“2019),"
Action, Drama, Mystery            ",7.5,"81,326",60
Sing 2,-2021,"
Animation, Adventure, Comedy            ",,,
White Collar,(2009â€“2014),"
Comedy, Crime, Drama            ",8.2,"122,230",40
The Dig,-2021,"
Biography, Drama, History            ",7.1,"60,598",112
Knives Out 2,-2022,"
Comedy, Crime, Drama            ",,,
Dirty John,(2018â€“ ),"
Crime, Drama            ",7.2,"18,088",44
The Old Guard,-2020,"
Action, Adventure, Fantasy            ",6.7,"141,605",125
Venom,-2018,"
Action, Adventure, Sci-Fi            ",6.7,"390,167",112
The Killing,(2011â€“2014),"
Crime, Drama, Mystery            ",8.2,"102,312",45
Don't Look Up,-2021,"
Comedy            ",,,145
Skins,(2007â€“2013),"
Drama            ",8.2,"77,286",46
6 Underground,-2019,"
Action, Thriller            ",6.1,"150,455",128
The Fate of the Furious,-2017,"
Action, Adventure, Crime            ",6.6,"215,795",136
Captain America: Civil War,-2016,"
Action, Adventure, Sci-Fi            ",7.8,"697,750",147
RurÃ´ni Kenshin: Sai shÃ»shÃ´ - The Beginning,-2021,"
Action, Adventure, Drama            ",7.8,"1,976",137
Death Note: Desu nÃ´to,(2006â€“2007),"
Animation, Crime, Drama            ",9,"262,556",24
Naruto,(2002â€“2007),"
Animation, Action, Adventure            ",8.3,"79,832",24
Black Sails,(2014â€“2017),"
Adventure, Drama            ",8.2,"96,550",56
Run,(I) (2020),"
Mystery, Thriller            ",6.7,"55,389",90
Orphan Black,(2013â€“2017),"
Action, Drama, Sci-Fi            ",8.3,"104,501",44
Grimm,(2011â€“2017),"
Crime, Drama, Fantasy            ",7.8,"111,716",45
Luther,(2010â€“2019),"
Crime, Drama, Mystery            ",8.4,"125,749",60
Sexy Beasts,(2021â€“ ),"
Reality-TV, Romance            ",4.7,592,
Red Notice,-2021,"
Action, Comedy, Crime            ",,,
Sen to Chihiro no kamikakushi,-2001,"
Animation, Adventure, Family            ",8.6,"682,809",125
Hotel Transylvania: Transformania,-2021,"
Animation, Adventure, Comedy            ",,,
Murdoch Mysteries,(2008â€“ ),"
Crime, Drama, Mystery            ",8.1,"11,437",48
Wish Dragon,-2021,"
Animation, Adventure, Comedy            ",7.2,"15,262",98
Resident Evil: Infinite Darkness,(2021â€“ ),"
Animation, Action, Horror            ",5.8,"7,128",26
Reign,(2013â€“2017),"
Drama, Fantasy            ",7.5,"45,045",42
Elementary,(2012â€“2019),"
Crime, Drama, Mystery            ",7.9,"103,707",60
The Girl in the Spider's Web,-2018,"
Action, Crime, Drama            ",6.1,"43,896",115
Kong: Skull Island,-2017,"
Action, Adventure, Fantasy            ",6.6,"294,292",118
The Missing,(2014â€“2016),"
Crime, Drama, Mystery            ",8.2,"23,317",60
Hagane no renkinjutsushi,(2009â€“2012),"
Animation, Action, Adventure            ",9.1,"134,855",24
Altered Carbon,(2018â€“2020),"
Action, Drama, Sci-Fi            ",8,"149,002",60
Enterprise,(2001â€“2005),"
Action, Adventure, Drama            ",7.5,"48,148",60
Black Clover,(2017â€“2021),"
Animation, Action, Adventure            ",8.3,"13,218",24
Uncut Gems,-2019,"
Crime, Drama, Thriller            ",7.4,"239,770",135
American Crime Story,(2016â€“ ),"
Biography, Crime, Drama            ",8.4,"83,137",42
Bloodline,(2015â€“2017),"
Drama, Thriller            ",7.9,"46,111",60
Revenge,(2011â€“2015),"
Drama, Mystery, Thriller            ",7.8,"114,932",44
The Revenant,-2015,"
Action, Adventure, Drama            ",8,"732,244",156
Z Nation,(2014â€“2018),"
Action, Comedy, Drama            ",6.7,"34,226",44
Polar,(I) (2019),"
Action, Crime, Drama            ",6.3,"80,553",118
Kim's Convenience,(2016â€“2021),"
Comedy            ",8.2,"12,443",22
Grace and Frankie,(2015â€“2021),"
Comedy            ",8.3,"41,520",30
The Lord of the Rings: The Two Towers,-2002,"
Action, Adventure, Drama            ",8.7,"1,529,752",179
Love Is Blind,(2020â€“ ),"
Reality-TV, Romance            ",6.1,"5,342",48
Legally Blonde,-2001,"
Comedy, Romance            ",6.3,"195,752",96
Jessica Jones,(2015â€“2019),"
Action, Crime, Drama            ",7.9,"198,056",56
Rust Creek,-2018,"
Crime, Drama, Thriller            ",5.9,"9,263",108
American Vandal,(2017â€“2018),"
Comedy, Crime, Drama            ",8.2,"28,093",34
Cheers,(1982â€“1993),"
Comedy, Drama            ",7.9,"49,886",22
Ocean's Eight,-2018,"
Action, Comedy, Crime            ",6.3,"197,909",110
America: The Motion Picture,-2021,"
Animation, Action, Adventure            ",5.7,"4,485",98
That '70s Show,(1998â€“ ),"
Comedy, Romance            ",8,"157,990",22
Below Deck Mediterranean,(2016â€“ ),"
Reality-TV            ",7.3,"1,327",43
Pirates of the Caribbean: Dead Men Tell No Tales,-2017,"
Action, Adventure, Fantasy            ",6.5,"276,173",129
Sense8,(2015â€“2018),"
Drama, Mystery, Sci-Fi            ",8.3,"144,032",60
How to Become a Tyrant,(2021â€“ ),"
Documentary, Biography, History            ",7.4,"3,700",
Dead to Me,(2019â€“ ),"
Comedy, Crime, Drama            ",8,"61,944",30
Narcos: MÃ©xico,(2018â€“ ),"
Crime, Drama            ",8.4,"64,838",50
2001: A Space Odyssey,-1968,"
Adventure, Sci-Fi            ",8.3,"622,998",149
Adventure Time,(2010â€“2018),"
Animation, Action, Adventure            ",8.6,"81,525",11
Nanatsu no taizai,(2014â€“2021),"
Animation, Action, Adventure            ",8,"26,282",24
My Unorthodox Life,(2021â€“ ),"
Reality-TV            ",5.1,742,
Slasher,(2016â€“ ),"
Crime, Drama, Horror            ",6.7,"12,031",60
Anne,(2017â€“2019),"
Drama, Family            ",8.7,"43,433",60
The Tudors,(2007â€“2010),"
Drama, History, Romance            ",8.1,"70,514",60
Batman v Superman: Dawn of Justice,-2016,"
Action, Adventure, Sci-Fi            ",6.4,"657,423",152
Pose,(2018â€“2021),"
Drama            ",8.6,"23,179",60
Cider no yÃ´ ni kotoba ga wakiagaru,-2020,"
Animation, Drama, Romance            ",7,941,87
News of the World,-2020,"
Action, Adventure, Drama            ",6.8,"69,037",118
Mother!,-2017,"
Drama, Horror, Mystery            ",6.6,"201,141",121
Emily in Paris,(2020â€“ ),"
Comedy, Drama, Romance            ",7,"55,757",30
National Lampoon's Animal House,-1978,"
Comedy            ",7.5,"115,289",109
The Affair,(2014â€“2019),"
Drama            ",7.9,"42,129",60
Honest Thief,-2020,"
Action, Crime, Drama            ",6,"40,186",99
The End of the F***ing World,(2017â€“2019),"
Adventure, Comedy, Crime            ",8.1,"157,802",25
Midnight in Paris,-2011,"
Comedy, Fantasy, Romance            ",7.7,"399,157",94
Lost in Space,(2018â€“ ),"
Adventure, Drama, Family            ",7.3,"76,255",60
Wentworth,(2013â€“2021),"
Crime, Drama            ",8.6,"18,080",45
After Life,(2019â€“ ),"
Comedy, Drama            ",8.4,"91,972",30
The Fresh Prince of Bel-Air,(1990â€“1996),"
Comedy            ",7.9,"125,167",22
Kill Bill: Vol. 2,-2004,"
Action, Crime, Thriller            ",8,"706,053",137
Bates Motel,(2013â€“2017),"
Drama, Horror, Mystery            ",8.1,"100,394",45
Moneyball,-2011,"
Biography, Drama, Sport            ",7.6,"386,263",133
Behind Her Eyes,-2021,"
Drama, Mystery, Thriller            ",7.2,"47,174",298
Biohackers,(2020â€“ ),"
Drama, Sci-Fi, Thriller            ",6.8,"7,563",44
Extraction,-2020,"
Action, Thriller            ",6.7,"174,406",116
The IT Crowd,(2006â€“2013),"
Comedy            ",8.5,"138,970",25
Californication,(2007â€“2014),"
Comedy, Drama            ",8.3,"174,076",28
Beastars,(2019â€“ ),"
Animation, Crime, Drama            ",7.8,"7,429",23
3rd Rock from the Sun,(1996â€“2001),"
Comedy, Family, Sci-Fi            ",7.7,"48,780",60
Big Mouth,(2017â€“ ),"
Animation, Comedy, Romance            ",7.9,"61,304",30
Snowpiercer,-2013,"
Action, Drama, Sci-Fi            ",7.1,"335,946",126
Locke & Key,(2020â€“ ),"
Drama, Fantasy, Horror            ",7.4,"47,717",48
300: Rise of an Empire,-2014,"
Action, Drama            ",6.2,"286,734",102
Kimi no na wa.,-2016,"
Animation, Drama, Fantasy            ",8.4,"217,433",106
Travelers,(2016â€“2018),"
Drama, Mystery, Sci-Fi            ",8.1,"49,197",45
Black Lightning,(2017â€“2021),"
Action, Drama, Sci-Fi            ",6.1,"23,354",43
Booksmart,-2019,"
Comedy            ",7.2,"103,143",102
The Water Man,(I) (2020),"
Adventure, Drama, Family            ",5.3,"1,978",91
Chesapeake Shores,(2016â€“ ),"
Drama, Family            ",7.5,"5,407",42
OxygÃ¨ne,-2021,"
Drama, Fantasy, Sci-Fi            ",6.5,"27,918",100
Jaws 2,-1978,"
Adventure, Horror, Thriller            ",5.8,"73,931",116
Enola Holmes,-2020,"
Action, Adventure, Crime            ",6.6,"145,206",123
RurÃ´ni Kenshin: Sai shÃ»shÃ´ - The Final,-2021,"
Action, Adventure, Drama            ",7.2,"4,682",138
Chilling Adventures of Sabrina,(2018â€“2020),"
Drama, Fantasy, Horror            ",7.5,"82,557",60
Marcella,(2016â€“ ),"
Crime, Drama, Mystery            ",7.4,"26,485",45
Tropic Thunder,-2008,"
Action, Comedy, War            ",7,"391,033",107
Freaks and Geeks,(1999â€“2000),"
Comedy, Drama            ",8.7,"133,607",44
iZombie,(2015â€“2019),"
Comedy, Crime, Drama            ",7.8,"62,258",42
Spirit Untamed,-2021,"
Animation, Adventure, Family            ",5.4,"1,741",88
Poldark,(2015â€“2019),"
Drama, History, Romance            ",8.3,"27,588",60
Beauty and the Beast,(I) (2017),"
Family, Fantasy, Musical            ",7.1,"284,484",129
Penny Dreadful,(2014â€“2016),"
Drama, Fantasy, Horror            ",8.2,"115,055",60
Unbelievable,-2019,"
Crime, Drama            ",8.4,"81,658",385
Fate: The Winx Saga,(2021â€“ ),"
Action, Adventure, Drama            ",6.9,"30,827",
